No.,Company,Location HQ,USState,Country,Continent,LaidOff,Date layoffs,Percentage,Company Size  Before Layoff,Company Size  After Layoff,Industry,Stage,Money Raised in millions,Year
1362,Bullhorn,Boston,Massachusetts,USA,North America,140,19-10-2023,9,1556,1416,Sales,Acquired,32,2023
1363,Convoy,Seattle,Washington,USA,North America,500,19-10-2023,100,500,0,Logistics,Series E,1100,2023
1364,StellarAlgo,Calgary,Unknown,Canada,North America,21,19-10-2023,28,75,54,Data,Series A,16,2023
1365,Nomad Health,New York City,New York,USA,North America,119,20-10-2023,17,700,581,Healthcare,Unknown,218,2023
1366,SiFive,Santa Clara,California,USA,North America,130,24-10-2023,20,650,520,Hardware,Series F,365,2023
1367,Hippo Insurance,Palo Alto,California,USA,North America,120,26-10-2023,20,600,480,Finance,Post-IPO,1300,2023
1368,Faire,San Francisco,California,USA,North America,250,01-11-2023,20,1250,1000,Retail,Series G,1700,2023
1369,Sana Benefits,Austin,Texas,USA,North America,73,01-11-2023,50,146,73,HR,Series B,106,2023
1370,Splunk,San Jose,California,USA,North America,500,01-11-2023,7,7143,6643,Data,Post-IPO,2400,2023
1371,Beyond Meat,Los Angeles,California,USA,North America,65,02-11-2023,8,813,748,Food,Post-IPO,122,2023
1372,Viasat,San Diego,California,USA,North America,800,02-11-2023,10,8000,7200,Other,Post-IPO,366,2023
1373,TripAdvisor,Boston,Massachusetts,USA,North America,125,12-11-2023,4,3125,3000,Travel,Post-IPO,3,2023
1374,Physics Wallah,Noida,Unknown,India,Asia,120,19-11-2023,1,12000,11880,Education,Series A,100,2023
1375,Our Next Energy,Detroit,Michigan,USA,North America,128,27-11-2023,25,512,384,Transportation,Series B,390,2023
1376,Dataminr,New York City,New York,USA,North America,150,28-11-2023,20,750,600,AI,Series F,1100,2023
1377,Unity,San Francisco,California,USA,North America,265,28-11-2023,4,6625,6360,Other,Post-IPO,1300,2023
1378,Loco,Mumbai,Unknown,India,Asia,40,30-11-2023,36,111,71,Consumer,Acquired,52,2023
1379,Zepz,London,Unknown,UK,Europe,30,30-11-2023,2,1500,1470,Finance,Series E,700,2023
1380,Spotify,Stockholm,Unknown,Sweden,Europe,1500,04-12-2023,17,8824,7324,Media,Post-IPO,2100,2023
1381,Incredibuild,Tel Aviv,Unknown,Israel,Asia,40,05-12-2023,20,200,160,Product,Series B,35,2023
1382,Navan,Palo Alto,California,USA,North America,145,05-12-2023,5,2900,2755,Finance,Unknown,Null,2023
1383,ZestMoney,Bengaluru,Unknown,India,Asia,150,05-12-2023,100,150,0,Finance,Series C,120,2023
1384,Zulily,Seattle,Washington,USA,North America,839,08-12-2023,100,839,0,Retail,Acquired,194,2023
1386,SmileDirectClub,Nashville,Tennessee,USA,North America,94,09-12-2023,100,94,0,Healthcare,Post-IPO,694,2024
1387,Sunfolding,San Francisco,California,USA,North America,162,09-12-2023,100,162,0,Energy,Series B,32,2024
1388,Chipper Cash,San Francisco,California,USA,North America,15,11-12-2023,33,45,30,Finance,Series C,302,2023
1391,Etsy,New York City,New York,USA,North America,225,13-12-2023,11,2045,1820,Retail,Post-IPO,97,2023
1392,Etsy,New York City,New York,USA,North America,225,13-12-2023,11,2045,1820,Retail,Post-IPO,97,2024
1395,FourKites,Chicago,Illinois,USA,North America,47,13-12-2023,15,313,266,Logistics,Unknown,241,2024
1396,Invitae,San Francisco,California,USA,North America,235,13-12-2023,15,1567,1332,Healthcare,Post-IPO,Null,2023
1397,Sojern,San Francisco,California,USA,North America,50,13-12-2023,20,250,200,Marketing,Unknown,172,2024
1398,Bolt,San Francisco,California,USA,North America,130,14-12-2023,29,448,318,Finance,Series E,1300,2023
1399,Cruise,San Francisco,California,USA,North America,900,14-12-2023,24,3750,2850,Transportation,Acquired,15000,2023
1400,Curalie,Berlin,Berlin,Germany,Europe,94,14-12-2023,100,94,0,Healthcare,Unknown,Null,2024
1404,Stellar Pizza,Los Angeles,California,USA,North America,125,14-12-2023,50,250,125,Food,Series A,25,2024
1412,Enphase Energy,Fremont,California,USA,North America,350,18-12-2023,10,3500,3150,Energy,Post-IPO,116,2023
1413,Udaan,Bengaluru,Unknown,India,Asia,100,18-12-2023,10,1000,900,Retail,Unknown,Null,2023
1414,InSightec,Haifa,Unknown,Israel,Asia,100,19-12-2023,20,500,400,Healthcare,Unknown,733,2023
1415,InSightec,Haifa,Unknown,Israel,Asia,100,19-12-2023,20,500,400,Healthcare,Unknown,733,2024
1416,Kaspien,Seattle,Washington,USA,North America,115,19-12-2023,100,115,0,Retail,Post-IPO,52,2024
1417,ShareChat,Bengaluru,Unknown,India,Asia,200,20-12-2023,15,1333,1133,Consumer,Series H,1700,2023
1418,Hyperloop One,Los Angeles,California,USA,North America,100,21-12-2023,100,100,0,Transportation,Unknown,368,2024
1422,Strake,Boulder,Colorado,USA,North America,540,28-12-2023,100,540,0,Infrastructure,Unknown,Null,2024
1423,Bolt.Earth,Bengaluru,Unknown,India,Asia,162,29-12-2023,20,810,648,Energy,Series B,24,2024
1424,Frontdesk,Milwaukee,Wisconsin,USA,North America,200,02-01-2024,100,200,0,Travel,Unknown,26,2024
1426,Lazada Group,Singapore,Unknown,Singapore,Asia,100,03-01-2024,30,333,233,Retail,Acquired,7,2024
1427,Orca Security,Tel Aviv,Unknown,Israel,Asia,60,03-01-2024,15,400,340,Security,Series C,632,2024
1428,Xerox,Norwalk,Connecticut,USA,North America,3000,03-01-2024,15,20000,17000,Hardware,Post-IPO,27,2024
1429,InVision,New York City,New York,USA,North America,59,04-01-2024,100,59,0,Product,Series F,356,2024
1430,Trigo,Tel Aviv,Unknown,Israel,Asia,30,04-01-2024,15,200,170,Retail,Series C,199,2024
1431,VideoAmp,Los Angeles,California,USA,North America,50,04-01-2024,20,250,200,Marketing,Series F,456,2024
1432,Cue Health,San Diego,California,USA,North America,94,05-01-2024,13,723,629,Healthcare,Post-IPO,899,2024
1434,NanoString Technology,Seattle,Washington,USA,North America,50,06-01-2024,9,556,506,Healthcare,Post-IPO,826,2024
1436,BenchSci,Toronto,Unknown,Canada,North America,70,08-01-2024,17,412,342,Healthcare,Series D,164,2024
1437,Flexe,Seattle,Washington,USA,North America,99,08-01-2024,38,261,162,Logistics,Series D,263,2024
1438,Flipkart,Bengaluru,Unknown,India,Asia,1100,08-01-2024,5,22000,20900,Retail,Acquired,13,2024
1439,Here,Miami,Florida,USA,North America,82,08-01-2024,100,82,0,Real Estate,Seed,5,2024
1440,Ledger Investing,New York City,New York,USA,North America,65,08-01-2024,25,260,195,Finance,Series B,91,2024
1442,MeridianLink,Los Angeles,California,USA,North America,65,08-01-2024,9,722,657,Finance,Post-IPO,485,2024
1443,NuScale Power,Corvallis,Oregon,USA,North America,154,08-01-2024,28,550,396,Energy,Post-IPO,470,2024
1444,Pitch,Berlin,Berlin,Germany,Europe,80,08-01-2024,67,119,39,Other,Series B,138,2024
1445,Unity,San Francisco,California,USA,North America,1800,08-01-2024,25,7200,5400,Other,Post-IPO,1,2024
1448,FullStory,Atlanta,Georgia,USA,North America,50,09-01-2024,10,500,450,Marketing,Unknown,197,2024
1449,Humane,San Francisco,California,USA,North America,10,09-01-2024,4,250,240,Hardware,Series C,230,2024
1451,Nevro,Redwood City,California,USA,North America,63,09-01-2024,5,1260,1197,Healthcare,Post-IPO,556,2024
1452,Rent the Runway,New York City,New York,USA,North America,37,09-01-2024,10,370,333,Retail,Post-IPO,526,2024
1453,Treasure Financial,San Francisco,California,USA,North America,14,09-01-2024,60,23,9,Finance,Series A,14,2024
1454,Trend Micro,Tokyo,Unknown,Japan,Asia,60,09-01-2024,2,3000,2940,Security,Unknown,Null,2024
1455,Twitch,San Francisco,California,USA,North America,500,09-01-2024,35,1429,929,Consumer,Acquired,35,2024
1459,ChargePoint,Campbell,California,USA,North America,71,10-01-2024,12,592,521,Manufacturing,Unknown,1,2024
1460,Citrix,Miami,Florida,USA,North America,1000,10-01-2024,12,8333,7333,Infrastructure,Acquired,20,2024
1461,FreshDirect,New York City,New York,USA,North America,100,10-01-2024,3,3333,3233,Food,Acquired,280,2024
1465,SoFi,San Francisco,California,USA,North America,65,10-01-2024,4,1625,1560,Finance,Post-IPO,3,2024
1467,7Shifts,Saskatoon,Unknown,Canada,North America,68,11-01-2024,19,358,290,Food,Series C,131,2024
1468,Audible,New York City,New York,USA,North America,100,11-01-2024,5,2000,1900,Media,Acquired,14,2024
1472,Dextrous Robotics,Memphis,Tennessee,USA,North America,47,11-01-2024,100,47,0,Logistics,Unknown,Null,2024
1473,Discord,San Francisco,California,USA,North America,170,11-01-2024,17,1000,830,Consumer,Series H,995,2024
1474,Inmobi,Bengaluru,Unknown,India,Asia,125,11-01-2024,5,2500,2375,Marketing,Unknown,320,2024
1476,Playtika,Tel Aviv,Unknown,Israel,Asia,300,11-01-2024,10,3000,2700,Consumer,Post-IPO,Null,2024
1477,Sisense,New York City,New York,USA,North America,60,11-01-2024,13,462,402,Data,Series F,274,2024
1478,Artifact,San Francisco,California,USA,North America,60,12-01-2024,100,60,0,Media,Unknown,Null,2024
1479,Dastgyr,Karachi,Unknown,Pakistan,Asia,115,12-01-2024,80,144,29,Retail,Series A,41,2024
1484,ALI Technologies,Tokyo,Unknown,Japan,Asia,100,16-01-2024,100,100,0,Transportation,Unknown,Null,2024
1485,First Mode,Seattle,Washington,USA,North America,48,16-01-2024,20,240,192,Transportation,Acquired,9,2024
1487,SonderMind,Denver,Colorado,USA,North America,49,16-01-2024,17,288,239,Healthcare,Series C,183,2024
1488,Thursday,London,Unknown,UK,Europe,200,16-01-2024,70,286,86,Consumer,Seed,3,2024
1494,Wayfair,Boston,Massachusetts,USA,North America,1650,19-01-2024,13,12692,11042,Retail,Post-IPO,2,2024
1495,SolarEdge,Tel Aviv,Unknown,Israel,Asia,900,21-01-2024,16,5625,4725,Energy,Post-IPO,155,2024
1498,Riot Gaming,Los Angeles,California,USA,North America,530,22-01-2024,11,4818,4288,Consumer,Acquired,21,2024
1501,Brex,San Francisco,California,USA,North America,282,23-01-2024,20,1410,1128,Finance,Series D,2,2024
1503,eBay,San Francisco,California,USA,North America,1000,23-01-2024,9,11111,10111,e-commerce,Post-IPO,1,2024
1506,SAP,Walldorf,Baden-Würtemberg,Germany,Europe,8000,23-01-2024,7,114286,106286,Other,Post-IPO,1,2024
1508,Vroom,New York City,New York,USA,North America,800,23-01-2024,90,889,89,Transportation,Post-IPO,1,2024
1509,Aurora,Pittsburgh,Pennsylvania,USA,North America,100,24-01-2024,3,3333,3233,Transportation,Post-IPO,4,2024
1510,Desktop Metal,Boston,Massachusetts,USA,North America,109,24-01-2024,20,545,436,Other,Post-IPO,811,2024
1513,Storytel,Stockholm,Unknown,Sweden,Europe,80,24-01-2024,13,615,535,Media,Post-IPO,275,2024
1515,Business Insider,New York City,New York,USA,North America,60,25-01-2024,8,750,690,Media,Acquired,56,2024
1516,Cova,Lagos,Unknown,Nigeria,Africa,65,25-01-2024,100,65,0,Finance,Unknown,Null,2024
1517,Jamf,Minneapolis,Minnesota,USA,North America,109,25-01-2024,6,1817,1708,Other,Post-IPO,332,2024
1519,MVPindex,Austin,Texas,USA,North America,12,25-01-2024,30,40,28,Marketing,Series B,27,2024
1520,Swiggy,Bengaluru,Unknown,India,Asia,400,25-01-2024,7,5714,5314,Food,Unknown,4,2024
1521,Veho,Boulder,Colorado,USA,North America,65,25-01-2024,19,342,277,Logistics,Series B,299,2024
1522,Flexport,San Francisco,California,USA,North America,47,26-01-2024,20,235,188,Logistics,Series E,2,2024
1524,Salesforce,San Francisco,California,USA,North America,700,26-01-2024,1,70000,69300,Sales,Post-IPO,65,2024
1526,iRobot,Boston,Massachusetts,USA,North America,350,29-01-2024,31,1129,779,Consumer,Post-IPO,30,2024
1527,Loopio,Toronto,Unknown,Canada,North America,67,29-01-2024,6,1117,1050,Sales,Private Equity,263,2024
1528,Aurora Solar,San Francisco,California,USA,North America,111,30-01-2024,20,555,444,Energy,Series D,523,2024
1529,Block,San Francisco,California,USA,North America,1000,30-01-2024,10,10000,9000,Finance,Post-IPO,150,2024
1530,Kiwi.com,Brno,Unknown,Czech Republic,Europe,216,30-01-2024,18,1200,984,Travel,Unknown,107,2024
1532,PayPal,San Jose,California,USA,North America,2500,30-01-2024,9,27778,25278,Finance,Post-IPO,216,2024
1533,Procore,Santa Barbara,California,USA,North America,90,30-01-2024,4,2250,2160,Construction,Post-IPO,654,2024
1536,Wattpad,Toronto,Unknown,Canada,North America,20,30-01-2024,10,200,180,Media,Acquired,117,2024
1538,Innoviz,Tel Aviv,Unknown,Israel,Asia,60,31-01-2024,13,462,402,Transportation,Post-IPO,547,2024
1539,Proofpoint,Sunnyvale,California,USA,North America,280,31-01-2024,6,4667,4387,Security,Acquired,885,2024
1540,The Messenger,Miami,Florida,USA,North America,60,31-01-2024,100,60,0,Media,Unknown,Null,2024
1543,Zuora,Redwood City,California,USA,North America,65,31-01-2024,8,813,748,Finance,Post-IPO,647,2024
1546,Okta,San Francisco,California,USA,North America,400,01-02-2024,7,5714,5314,Security,Post-IPO,1,2024
1547,Polygon,Cayman Islands,Unknown,Cayman Islands,North America,60,01-02-2024,19,316,256,Crypto,Unknown,451,2024
1548,Zoom,San Jose,California,USA,North America,150,01-02-2024,2,7500,7350,Other,Post-IPO,276,2024
1549,Cake Bikes,Stockholm,Unknown,Sweden,Europe,100,02-02-2024,100,100,0,Transportation,Unknown,74,2024
1550,Cue Health,San Diego,California,USA,North America,245,02-02-2024,30,817,572,Healthcare,Post-IPO,899,2024
1551,Small Robot Computer,Salisbury,Unknown,UK,Europe,125,02-02-2024,100,125,0,Food,Unknown,10,2024
1552,Top Hat,Toronto,Unknown,Canada,North America,35,02-02-2024,7,500,465,Education,Series E,234,2024
1553,Twig,London,Unknown,UK,Europe,65,02-02-2024,100,65,0,Finance,Unknown,41,2024
1554,Astrate Medical,Philadelphia,Pennsylvania,USA,North America,94,05-02-2024,100,94,0,Healthcare,Series A,13,2024
1556,Drizly,Boston,Massachusetts,USA,North America,168,05-02-2024,100,168,0,Retail,Acquired,119,2024
1557,Impact.com,Los Angeles,California,USA,North America,40,05-02-2024,3,1333,1293,Sales,Private Equity,361,2024
1559,Muvin,Bengaluru,Unknown,India,Asia,65,05-02-2024,100,65,0,Finance,Seed,4,2024
1561,Snap,Los Angeles,California,USA,North America,500,05-02-2024,10,5000,4500,Consumer,Post-IPO,5,2024
1564,DocuSign,San Francisco,California,USA,North America,440,06-02-2024,6,7333,6893,Sales,Post-IPO,536,2024
1566,Fireblocks,New York City,New York,USA,North America,20,07-02-2024,3,667,647,Crypto,Series E,1,2024
1568,Tenable,Baltimore,Maryland,USA,North America,60,07-02-2024,5,1200,1140,Security,Post-IPO,565,2024
1569,Workfellow,Espoo,Unknown,Finland,Europe,248,07-02-2024,100,248,0,HR,Seed,3,2024
1570,Getaround,San Francisco,California,USA,North America,100,08-02-2024,30,333,233,Transportation,Post-IPO,948,2024
1571,Journera,Chicago,Illinois,USA,North America,104,08-02-2024,100,104,0,Travel,Series B,31,2024
1572,Otovo,Oslo,Unknown,Norway,Europe,65,08-02-2024,15,433,368,Energy,Post-IPO,247,2024
1574,BlissClub,Bengaluru,Unknown,India,Asia,21,09-02-2024,18,117,96,Retail,Series A,20,2024
1576,Licious,Bengaluru,Unknown,India,Asia,80,09-02-2024,3,2667,2587,Food,Series F,490,2024
1577,SiriusXM,New York City,New York,USA,North America,160,12-02-2024,3,5333,5173,Media,Post-IPO,525,2024
1578,Everybuddy,Tel Aviv,Unknown,Israel,Asia,200,13-02-2024,100,200,0,Consumer,Series A,15,2024
1579,Impinj,Seattle,Washington,USA,North America,50,13-02-2024,10,500,450,Other,Post-IPO,137,2024
1580,Instacart,San Francisco,California,USA,North America,250,13-02-2024,7,3571,3321,Food,Post-IPO,3,2024
1581,Mozilla,San Francisco,California,USA,North America,60,13-02-2024,5,1200,1140,Consumer,Unknown,2,2024
1583,Riskified,New York City,New York,USA,North America,40,13-02-2024,6,667,627,Retail,Post-IPO,229,2024
1584,Wisense,Tel Aviv,Unknown,Israel,Asia,100,13-02-2024,100,100,0,Transportation,Unknown,37,2024
1585,Away,New York City,New York,USA,North America,115,14-02-2024,25,460,345,Retail,Series D,181,2024
1586,Cisco,San Jose,California,USA,North America,4250,14-02-2024,5,85000,80750,Infrastructure,Post-IPO,2,2024
1587,Wint Wealth,Nashik,Unknown,India,Asia,19,14-02-2024,20,95,76,Finance,Series A,16,2024
1588,CodeSee,San Francisco,California,USA,North America,238,15-02-2024,100,238,0,Data,Seed,10,2024
1589,Gro Intelligence,New York City,New York,USA,North America,20,15-02-2024,10,200,180,Food,Series B,118,2024
1590,May Mobility,Ann Arbor,Michigan,USA,North America,100,15-02-2024,13,769,669,Transportation,Series D,303,2024
1591,Sonder,San Francisco,California,USA,North America,106,15-02-2024,17,624,518,Travel,Post-IPO,839,2024
1592,Storytel,Stockholm,Unknown,Sweden,Europe,80,15-02-2024,13,615,535,Consumer,Post-IPO,312,2024
1593,Toast,Boston,Massachusetts,USA,North America,550,15-02-2024,10,5500,4950,Food,Post-IPO,962,2024
1594,Farfetch,London,Unknown,UK,Europe,2000,16-02-2024,25,8000,6000,Retail,Acquired,2,2024
1595,Voi,Stockholm,Unknown,Sweden,Europe,120,16-02-2024,12,1000,880,Transportation,Series D,515,2024
1598,KnownOrigin,Manchester,Unknown,UK,Europe,40,20-02-2024,30,133,93,Crypto,Acquired,3,2024
1599,Meati,Boulder,Colorado,USA,North America,125,20-02-2024,30,417,292,Food,Series C,274,2024
1600,Tails.com,London,Unknown,UK,Europe,55,20-02-2024,25,220,165,Retail,Series A,5,2024
1602,BuzzFeed,New York City,New York,USA,North America,60,21-02-2024,16,375,315,Media,Post-IPO,696,2024
1603,Finder,Sydney,Unknown,Australia,Oceana,60,21-02-2024,17,353,293,Retail,Unknown,30,2024
1604,Rivian,Detroit,Michigan,USA,North America,100,21-02-2024,10,1000,900,Transportation,Post-IPO,11,2024
1609,Expedia,Seattle,Washington,USA,North America,1500,26-02-2024,8,18750,17250,Travel,Post-IPO,3,2024
1612,Bumble,Austin,Texas,USA,North America,350,27-02-2024,30,1167,817,Consumer,Post-IPO,313,2024
1614,Sony Interactive,San Mateo,California,USA,North America,900,27-02-2024,8,11250,10350,Consumer,Subsidiary,Null,2024
1615,Electronic Arts,Redwood City,California,USA,North America,670,28-02-2024,5,13400,12730,Consumer,Post-IPO,2,2024
1616,Motional,Boston,Massachusetts,USA,North America,100,28-02-2024,5,2000,1900,Transportation,Unknown,Null,2024
1617,Treasury Prime,San Francisco,California,USA,North America,40,28-02-2024,40,100,60,Finance,Series C,71,2024
1618,Vacasa,Portland,Oregon,USA,North America,320,28-02-2024,5,6400,6080,Travel,Post-IPO,834,2024
1619,Fisker,Los Angeles,California,USA,North America,100,29-02-2024,15,667,567,Transportation,Post-IPO,2,2024
1620,Kevin,Vilnius,Unknown,Lithuania,Europe,65,29-02-2024,14,464,399,Finance,Series A,79,2024
1621,Gro Intelligence,New York City,New York,USA,North America,90,01-03-2024,60,150,60,Food,Series B,118,2024
1622,Pristyn Care,Gurugram,Unknown,India,Asia,120,01-03-2024,7,1714,1594,Healthcare,Series E,177,2024
1623,Project Ronin,San Mateo,California,USA,North America,150,01-03-2024,100,150,0,Healthcare,Unknown,Null,2024
1625,Edgio,Phoenix,Arizona,USA,North America,80,04-03-2024,10,800,720,Infrastructure,Post-IPO,462,2024
1626,Melio,New York City,New York,USA,North America,40,04-03-2024,7,571,531,Finance,Series D,504,2024
1627,Our Next Energy,Detroit,Michigan,USA,North America,40,04-03-2024,13,308,268,Transportation,Series B,390,2024
1629,MessageBird,Amsterdam,Unknown,Netherlands,Europe,90,05-03-2024,20,450,360,Other,Series C,1,2024
1633,Sorare,New York City,New York,USA,North America,22,06-03-2024,13,169,147,Crypto,Series B,739,2024
1635,Turnitin,Oakland,California,USA,North America,15,07-03-2024,2,750,735,Education,Acquired,Null,2024
1636,Inscribe,San Francisco,California,USA,North America,65,08-03-2024,40,163,98,Finance,Series B,39,2024
1637,Niche,Pittsburgh,Pennsylvania,USA,North America,24,08-03-2024,7,343,319,Education,Series C,44,2024
1638,Deadspin,New York City,New York,USA,North America,11,11-03-2024,100,11,0,Media,Acquired,Null,2024
1640,Phantom Auto,San Francisco,California,USA,North America,100,12-03-2024,100,100,0,Transportation,Unknown,86,2024
1641,Stash,New York City,New York,USA,North America,80,13-03-2024,25,320,240,Finance,Unknown,480,2024
1642,Textio,Seattle,Washington,USA,North America,14,14-03-2024,16,88,74,HR,Unknown,42,2024
1643,Blueboard,San Diego,California,USA,North America,248,15-03-2024,100,248,0,HR,Series A,16,2024
1646,Longi,Xi'an,Unknown,China,Asia,162,18-03-2024,5,3240,3078,Energy,Unknown,Null,2024
1647,Airmeet,Bengaluru,Unknown,India,Asia,50,19-03-2024,20,250,200,Marketing,Series B,50,2024
1649,ShopBack,Singapore,Unknown,Singapore,Asia,195,19-03-2024,24,813,618,Retail,Series F,355,2024
1652,Dell,Austin,Texas,USA,North America,6000,25-03-2024,5,120000,114000,Hardware,Post-IPO,Null,2024
1653,Synctera,Palo Alto,California,USA,North America,17,26-03-2024,15,113,96,Finance,Series A,79,2024
1654,ChowNow,Los Angeles,California,USA,North America,60,28-03-2024,20,300,240,Food,Series C,64,2024
1655,Identiq,Tel Aviv,Unknown,Israel,Asia,20,01-04-2024,44,45,25,Security,Series A,52,2024
1657,Ranger Insurance,New York City,New York,USA,North America,65,01-04-2024,100,65,0,Finance,Seed,5,2024
1658,Rezi,New York City,New York,USA,North America,82,01-04-2024,100,82,0,Real Estate,Series B,230,2024
1660,Byju's,Bengaluru,Unknown,India,Asia,500,02-04-2024,3,16667,16167,Education,Private Equity,Null,2024
1662,Thepeer,Lagos,Unknown,Nigeria,Africa,65,02-04-2024,100,65,0,Finance,Seed,2,2024
1666,Lightspeed Commerce,Montreal,Unknown,Canada,North America,280,03-04-2024,10,2800,2520,Retail,Post-IPO,1200,2024
1669,Yummly,San Carlos,California,USA,North America,125,03-04-2024,100,125,0,Food,Acquired,24,2024
1672,Ghost Autonomy,Mountain View,California,USA,North America,100,05-04-2024,100,100,0,Transportation,Series E,247,2024
1673,Bolt.Earth,Bengaluru,Unknown,India,Asia,70,06-04-2024,40,175,105,Software Development,Unknown,Null,2024
1674,EXL,New York City,New York,USA,North America,800,06-04-2024,2,40000,39200,IT Services,Unknown,Null,2024
1675,Fission,Vancouver,Unknown,Canada,North America,109,07-04-2024,100,109,0,Other,Unknown,Null,2024
1676,Singularity 6,Los Angeles,California,USA,North America,49,08-04-2024,35,140,91,Gaming,Series B,49,2024
1677,Trendsales,Copenhagen,Unknown,Denmark,Europe,79,08-04-2024,100,79,0,Retail,Acquired,Null,2024
1678,Checkr,San Francisco,California,USA,North America,382,09-04-2024,32,1194,812,HR,Series D,Null,2024
1682,Fabric,New York City,New York,USA,North America,30,11-04-2024,15,200,170,Logistics,Series C,336,2024
1683,Hinge Health,San Francisco,California,USA,North America,94,11-04-2024,10,940,846,Healthcare,Series E,826,2024
1684,Zoe,London,Unknown,UK,Europe,94,11-04-2024,20,470,376,Healthcare,Series B,89,2024
1685,Criteo,Paris,Unknown,France,Europe,140,12-04-2024,4,3500,3360,Marketing,Unknown,Null,2024
1686,Criteo,Paris,Unknown,France,Europe,140,12-04-2024,4,3500,3360,Marketing,Post-IPO,61,2024
1689,McKinsey & Co,New York City,New York,USA,North America,360,15-04-2024,3,12000,11640,Business Consulting and Services,Unknown,Null,2024
1690,Tesla,Austin,Texas,USA,North America,14000,15-04-2024,10,140000,126000,Motor Vehicle Manufacturing,Unknown,Null,2024
1691,Kwalee,Leamington Spa,Unknown,UK,Europe,40,16-04-2024,10,400,360,Gaming,Unknown,Null,2024
1692,Take-Two,New York City,New York,USA,North America,600,16-04-2024,5,12000,11400,Entertainment Providers,Post-IPO,4100,2024
1693,Tome,San Francisco,California,USA,North America,12,16-04-2024,20,60,48,AI,Series B,75,2024
1694,Tome,San Francisco,California,USA,North America,12,16-04-2024,25,48,36,AI,Series B,75,2024
1696,Data.ai,San Francisco,California,USA,North America,44,17-04-2024,11,400,356,Software Development,Unknown,Null,2024
1698,Rivian,Detroit,Michigan,USA,North America,100,17-04-2024,1,10000,9900,Transportation,Post-IPO,10700,2024
1699,Toshiba,Tokyo,Unknown,Japan,Asia,5000,17-04-2024,10,50000,45000,Appliances,Post-IPO,574,2024
1700,Good Glamm Group,New Delhi,Unknown,India,Asia,150,18-04-2024,15,1000,850,IT Services,Unknown,Null,2024
1701,Pax8,Greenwood Village,Colorado,USA,North America,475,18-04-2024,5,9500,9025,IT Services,Unknown,400,2024
1702,Showpad,Ghent,Unknown,Belgium,Europe,50,18-04-2024,10,500,450,Marketing,Series D,159,2024
1703,Stability AI,London,Unknown,UK,Europe,20,18-04-2024,10,200,180,AI,Unknown,174,2024
1704,The Good Glamour,New Delhi,Unknown,India,Asia,150,18-04-2024,15,1000,850,Retail,Unknown,180,2024
1706,OutSystems,Boston,Massachusetts,USA,North America,150,19-04-2024,8,1875,1725,Product,Series G,802,2024
1707,Post.,New York City,New York,USA,North America,90,19-04-2024,100,90,0,Social posting site,Unknown,Null,2024
1710,Freenome,San Francisco,California,USA,North America,100,24-04-2024,20,500,400,Healthcare,Unknown,Null,2024
1711,Heureka Group,Prague,Unknown,Czech Republic,Europe,100,24-04-2024,16,625,525,Retail,Acquired,Null,2024
1717,True Anomaly,Denver,Colorado,USA,North America,30,26-04-2024,25,120,90,Aerospace,Series B,158,2024
1719,HealthifyMe,Bengaluru,Unknown,India,Asia,150,27-04-2024,27,556,406,Healthcare,Series D,130,2024
1720,ComplYant,Los Angeles,California,USA,North America,65,29-04-2024,100,65,0,Finance,Seed,6,2024
1722,Ninja Van,Singapore,Unknown,Singapore,Asia,21,29-04-2024,10,210,189,Transportation,Series E,974,2024
1723,Ola,Bengaluru,Unknown,India,Asia,180,29-04-2024,10,1800,1620,Transportation,Series J,3800,2024
1724,Akili Interactive,Boston,Massachusetts,USA,North America,94,30-04-2024,46,204,110,Healthcare,Post-IPO,Null,2024
1726,KeokeN,Hoofddorp,Unknown,Netherlands,Europe,44,30-04-2024,100,44,0,Gaming,Unknown,Null,2024
1727,RiseUp,London,Unknown,UK,Europe,50,30-04-2024,50,100,50,Fintech,Series B,30,2024
1729,Assurance,Seattle,Washington,USA,North America,112,01-05-2024,100,112,0,Insurance,Unknown,Null,2024
1731,Sproutt,Hartford,Connecticut,USA,North America,68,01-05-2024,100,68,0,Insurance,Series B,38,2024
1734,Peloton,New York City,New York,USA,North America,400,02-05-2024,15,2667,2267,Fitness,Post-IPO,1900,2024
1737,Sprinklr,New York City,New York,USA,North America,116,03-05-2024,3,3867,3751,Software Development,Post-IPO,429,2024
1738,Cue Health,San Diego,California,USA,North America,230,04-05-2024,49,469,239,Healthcare,Post-IPO,899,2024
1739,Luminar,Orlando,Florida,USA,North America,147,04-05-2024,20,735,588,Transportation,Post-IPO,780,2024
1740,Enovix,Fremont,California,USA,North America,170,06-05-2024,33,515,345,Energy,Post-IPO,516,2024
1743,Arkane Studios,Austin,Texas,USA,North America,96,08-05-2024,100,96,0,Consumer,Unknown,Null,2024
1744,Brilliant,San Francisco,California,USA,North America,807,08-05-2024,100,807,0,Hardware,Unknown,Null,2024
1745,Kinaxis,Ottawa,Unknown,Canada,North America,109,08-05-2024,6,1817,1708,Other,Post-IPO,79,2024
1746,PrepLadder,New Delhi,Unknown,India,Asia,145,08-05-2024,25,580,435,Education,Unknown,Null,2024
1747,Simpl,Bengaluru,Unknown,India,Asia,100,08-05-2024,15,667,567,Finance,Series B,71,2024
